key;fr;en
LETTER_WELCOME_NAME;Lettre de bienvenue de Suzan;Welcome letter from Suzan
LETTER_WELCOME_HEADER;Bienvenu,;Welcome,
LETTER_WELCOME_BODY;Je t’ai quitté il y a longtemps maintenant, tu dois avoir bien grandi… \nCe refuge est tout ce qu’il me reste. Il est à toi maintenant. \n\nJe t’ai laissé mon équipement de pêche dans la cabine. Il a l’air simpliste, mais tu pourrait être surpris de tout ce qu’il a à offrir. \n\nJ’espère que tu appréciera cet endroit autant que moi.;I left you a long time ago, so you must have grown up a lot… \nThis shelter is all I have left. I leave it to you. \n\nI've left you my fishing equipment in the cabin. It looks simple, but you'll be amazed at what it has to offer.  \n\nI hope you'll enjoy this place as much as I did.
LETTER_WELCOME_FOOTER;Suzan;Suzan
;;
LETTER_TWINTREES_NAME;Note – Les amoureux;Note – The lovers
LETTER_TWINTREES_HEADER;;
LETTER_TWINTREES_BODY;Quand les deux amoureux contemple l’astre, contemple avec eux. Et voit par leur œil la beauté du monde,;When the two lovers contemplate the star, contemplate with them. And see throught their eye the beauty of the world,
LETTER_TWINTREES_FOOTER;;
;;
FLYER_AD_NEW_PRODUCT;[PUB] nouveau produit !;[AD] new product
FLYER_AD_CONSTRUCT;[PUB] immobilier;[AD] real-estate
;;
LETTER_SUNFLOWER_NAME;Observations sur les tournesols;Sunflowers observations
LETTER_SUNFLOWER_HEADER;Rapport du 10/05/94 – 10h28;Report of 10/05/95 – 10h28
LETTER_SUNFLOWER_BODY;Température du sol : 12°C\nHauteur : 1,3m\nRayon de la fleur : 18cm\n\nJ’ai noté un comportement inhabituel pour ce type de plante, les tournesols ici ne suivent pas le soleil. Peut-être que la position anormalement variable de ce dernier ne leur permet pas de le faire ?;Ground temperature : 12°C\nHeight : 1,3m\nFlower radius : 18cm\n\nI noticed an unusual behavior for this type of plant: the sunflowers here don't follow the sun. Perhaps the sun's abnormally variable position prevents them from doing so?
