Amarrage;Des poissons
Déferlement;Du code
Affichage;Des modèles
Arrosage;Du rendu
Interfaçage;Des surfaces
Chargement;Des rayons
Empaquetage;Des particules
Renversement;De l’eau
Éloignement;Des nuages de points
Mise en relation;Du terrain
Collage;Du processeur
Ralliement;Des textures
Démarrage;Des ombres
Compression;Des algorithmes
Emballage;Des éléments du maillage
Déplacement;Des graphismes
Rotation;Du calcul des ombres
Duplication;Des outils du logiciel
Stimulation;Des environnements
Hébergement;Des matériaux
Agitation;Des collisions
Lissage;Des lumières
Atténuation;Du soleil
Nettoyage;De la caméra
Nassage;Des roches
Translation;Des zones
Retournement;Des images
Partage;Du fond
Passage;Des fleurs
Ramassage;Des dimensions
Décimation;Du monde 3D
Connexion;Des objets
Confection;Du volume des pixels
Sauvetage;Du ciel
Habillage;Des formes
Rapprochement;Des ressources
Serrage;Du contour des objets
Stockage;Des paramètres
Triage;Du terrain des objets
Vidage;Du paysage
Lavage;De l’atmosphère
Lustrage;Du ciel
Maillage;Des points du réseau
Doublage;Des pixels du rendu
Hachage;Du maillage des espaces
Hébergement;Des contours des modèles
Pressage;Du moteur
Dégagement;Des sphères de calcul
Déchargement;Du plan des surfaces
Ponçage;Des arbres
Cisaillage;Du relief des montagnes
Pavage;Des pentes du terrain
Moulage;De la simulation
Fauchage;Des mouvements du personnage
Enlèvement;Du dégradé des couleurs
Rétrécissement;Des lumières du modèle
Agrandissement;Du son
Échantillonnage;Du modèle des arbres
Révision;Des textures du sol
Déferlement;Du programme
Guidage;Des pixels
Traçage;Des effets
Calcul;Des surfaces
Interprétation;Des scènes
Interpolation;Des reflets
Ajustement;Du sable
Dédoublement;Des couleurs
Revigoration;Des distances
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
Éclatage;
